unidade,municipio,sup,area,bloco,tipo,geracao_t,geradora,destino,modalidade,plano_pgrs,lat,lon
ETE SARAPUI,Belford Roxo,Baixada 1,(somente individualizado),B4,Estação de Tratamento de Esgoto,326.0,Sim,Ciclus Ambiental Rio S.A.,Agrupado,AGR · Belford Roxo (Baixada 1/B4),-22.7566592,-43.352209
SEDE BELFORD ROXO,Belford Roxo,Baixada 1,(somente individualizado),B4,Base Operacional,214.9,Sim,MARIOTINI TRANSPORTES GESTAO DE RESIDUOS E APOIO A CONSTRUÇAO CIVIL LTDA-EPP,Agrupado,AGR · Belford Roxo (Baixada 1/B4),-22.7597854,-43.4021213
SEDE JARDIM PRIMAVERA,Duque de Caxias,Baixada 1,Baixada – demais,B4,Base Operacional,1.4,Sim,,Agrupado,AGR · Baixada – demais (Baixada 1/B4),-22.6837211,-43.2808873
SEDE CAXIAS,Duque de Caxias,Baixada 1,Baixada – demais,B4,Base Operacional,490.0,Sim,MARIOTINI TRANSPORTES GESTAO DE RESIDUOS E APOIO A CONSTRUÇAO CIVIL LTDA-EPP,Agrupado,AGR · Baixada – demais (Baixada 1/B4),-22.7904735,-43.312386
CL DUQUE DE CAXIAS,Duque de Caxias,Baixada 1,Baixada – demais,B4,Almoxarifado,18.7,Sim,ETR JARDIM GRAMACHO,Agrupado,AGR · Baixada – demais (Baixada 1/B4),-22.7878377,-43.2856376
BOOSTER BELFORD ROXO,Duque de Caxias,Baixada 1,Baixada – demais,B4,N/D,0.5,Sim,MARIOTINI TRANSPORTES GESTAO DE RESIDUOS E APOIO A CONSTRUÇAO CIVIL LTDA-EPP,Agrupado,AGR · Baixada – demais (Baixada 1/B4),-22.7878377,-43.2856376
BASE VCG JARDIM AMÉRICA,Duque de Caxias,Baixada 1,Baixada – demais,B4,Base Operacional,36.6,Sim,,Agrupado,AGR · Baixada – demais (Baixada 1/B4),-22.8155771,-43.3248712
EEE JARDIM GRAMACHO,Duque de Caxias,Baixada 1,Baixada – demais,B4,Estação Elevatória de Esgoto,0.0,Não,,Agrupado,AGR · Baixada – demais (Baixada 1/B4),-22.7544292,-43.2973356
EEE TIÃO LANTE,Duque de Caxias,Baixada 1,Baixada – demais,B4,Estação Elevatória de Esgoto,0.0,Não,,Agrupado,AGR · Baixada – demais (Baixada 1/B4),-22.7525909,-43.2912698
RESERVATÓRIO 25 DE AGOSTO,Duque de Caxias,Baixada 1,Baixada – demais,B4,Reservatório de Água,40.0,Sim,,Agrupado,AGR · Baixada – demais (Baixada 1/B4),-22.7853495,-43.3028835
RESERVATÓRIO CENTENÁRIO,Duque de Caxias,Baixada 1,Baixada – demais,B4,Reservatório de Água,40.0,Sim,,Agrupado,AGR · Baixada – demais (Baixada 1/B4),-22.7751273,-43.3106917
ETA Mage,Magé,Baixada 1,Agrupado/Municipal,B1,Estação de Tratamento de Água,48.5,Sim,[BAIXADA 1] - ETE SARAPUI - AGUAS DO RIO 4 SPE S.A.,Agrupado,AGR · Magé (Baixada 1/B1),-22.659098,-43.0248625
SEDE MAGE,Magé,Baixada 1,Agrupado/Municipal,B1,Base Operacional,30.1,Sim,MARIOTINI TRANSPORTES GESTAO DE RESIDUOS E APOIO A CONSTRUÇAO CIVIL LTDA-EPP,Agrupado,AGR · Magé (Baixada 1/B1),-22.6578119,-43.0374481
UT Santo Aleixo,Magé,Baixada 1,Agrupado/Municipal,B1,Unidade de Tratamento de Água,0.1,Sim,3R COMERCIO DE RESIDUOS RECICLAVEIS LTDA,Agrupado,AGR · Magé (Baixada 1/B1),-22.5560454,-43.0494511
SEDE SAO JOAO DE MERITI,São João de Meriti,Baixada 1,(somente individualizado),B4,Base Operacional,41.0,Sim,MARIOTINI TRANSPORTES GESTAO DE RESIDUOS E APOIO A CONSTRUÇAO CIVIL LTDA-EPP,Agrupado,AGR · São João de Meriti (Baixada 1/B4),-22.7666773,-43.3532653
RESERVATORIO VILAR DOS TELES,São João de Meriti,Baixada 1,(somente individualizado),B4,Reservatório de Água,1080.0,Sim,ENDOMAQ SERVIÇOS E EMPREENDIMENTOS LTDA,Individualizado,IND · RESERVATORIO VILAR DOS TELES,-22.7755858,-43.360371
RESERVATÓRIO COELHO DA ROCHA,São João de Meriti,Baixada 1,(somente individualizado),B4,Reservatório de Água,40.0,Sim,,Agrupado,AGR · São João de Meriti (Baixada 1/B4),-22.7684785,-43.3795601
EEAT ENGENHEIRO PEDREIRA,Japeri,Baixada 2 (vizinho),Baixada – demais,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Baixada – demais (Baixada 2/B4),-22.7053346,-43.6275244
ERES ENGENHEIRO PEDREIRA,Japeri,Baixada 2 (vizinho),Baixada – demais,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – demais (Baixada 2/B4),-22.6797291,-43.6090782
EEE SANTO ELIAS,Mesquita,Baixada 2,Baixada – demais,B4,Estação Elevatória de Esgoto,10.0,Sim,INDUSTRIA EXTRATIVA E COMERICAL POP LTDA-EPP,Agrupado,AGR · Baixada – demais (Baixada 2/B4),-22.7690168,-43.4167452
EEE CHATUBA,Mesquita,Baixada 2,Baixada – demais,B4,Estação Elevatória de Esgoto,0.3,Sim,Regenera Rio S.A.,Agrupado,AGR · Baixada – demais (Baixada 2/B4),-22.8003742,-43.4272749
