Unidade,Município,Bloco,Tipo,Funcionários,Passivo,Geração planilha (t),MTR 2024 (t),MTR 2025 (t),Ref. anual max (t),Geradora?,Fonte
ETE SARAPUI,Belford Roxo,Bloco 4,Estação de Tratamento de Esgoto,8,Não,"22,4","326,0","22,4","326,0",Sim,planilha+MTR24+MTR25
SEDE BELFORD ROXO,Belford Roxo,Bloco 4,Base Operacional,310,Não,"214,9","85,0","214,9","214,9",Sim,planilha+MTR24+MTR25
SEDE JARDIM PRIMAVERA,Duque de Caxias,Bloco 4,Base Operacional,58,Não,"1,4","0,0","1,4","1,4",Sim,planilha+MTR25
SEDE CAXIAS,Duque de Caxias,Bloco 4,Base Operacional,289,Não,"386,1","490,0","386,1","490,0",Sim,planilha+MTR24+MTR25
CL DUQUE DE CAXIAS,Duque de Caxias,Bloco 4,Almoxarifado,,Não,"16,6","3,3","18,7","18,7",Sim,planilha+MTR24+MTR25
BOOSTER BELFORD ROXO,Duque de Caxias,Bloco 4,N/D,,Não,"0,1","0,0","0,5","0,5",Sim,planilha+MTR25
BASE VCG JARDIM AMÉRICA,Duque de Caxias,Bloco 4,Base Operacional,121,Não,"33,6","0,0","36,6","36,6",Sim,planilha+MTR25
EEE JARDIM GRAMACHO,Duque de Caxias,Bloco 4,Estação Elevatória de Esgoto,,Não,"0,0","0,0","0,0","0,0",Não,-
EEE TIÃO LANTE,Duque de Caxias,Bloco 4,Estação Elevatória de Esgoto,,Não,"0,0","0,0","0,0","0,0",Não,-
RESERVATÓRIO 25 DE AGOSTO,Duque de Caxias,Bloco 4,Reservatório de Água,,Sim,"0,0","40,0","0,0","40,0",Sim,MTR24
RESERVATÓRIO CENTENÁRIO,Duque de Caxias,Bloco 4,Reservatório de Água,,Não,"0,0","40,0","0,0","40,0",Sim,MTR24
ETA Mage,Magé,Bloco 1,Estação de Tratamento de Água,2,Não,"48,5","6,8","48,5","48,5",Sim,planilha+MTR24+MTR25
SEDE MAGE,Magé,Bloco 1,Base Operacional,103,Não,"15,1","30,1","15,0","30,1",Sim,planilha+MTR24+MTR25
UT Santo Aleixo,Magé,Bloco 1,Unidade de Tratamento de Água,,Não,"0,1","0,0","0,1","0,1",Sim,planilha+MTR25
SEDE SAO JOAO DE MERITI,São João de Meriti,Bloco 4,Base Operacional,79,Não,"41,0","0,0","41,0","41,0",Sim,planilha+MTR25
RESERVATORIO VILAR DOS TELES,São João de Meriti,Bloco 4,Reservatório de Água,,Sim,"1080,0","40,0","1080,0","1080,0",Sim,planilha+MTR24+MTR25
RESERVATÓRIO COELHO DA ROCHA,São João de Meriti,Bloco 4,Reservatório de Água,,Não,"0,0","40,0","0,0","40,0",Sim,MTR24
EEAT ENGENHEIRO PEDREIRA,Japeri,Bloco 4,Estação Elevatória de Água Tratada,,Não,"0,0","0,0","0,0","0,0",Não,-
ERES ENGENHEIRO PEDREIRA,Japeri,Bloco 4,Estação de Reservação,,Não,"0,0","0,0","0,0","0,0",Não,-
EEE SANTO ELIAS,Mesquita,Bloco 4,Estação Elevatória de Esgoto,,Não,"0,2","10,0","0,2","10,0",Sim,planilha+MTR24+MTR25
EEE CHATUBA,Mesquita,Bloco 4,Estação Elevatória de Esgoto,,Não,"0,3","0,0","0,3","0,3",Sim,planilha+MTR25
EEE VILA NORMA,Mesquita,Bloco 4,Estação Elevatória de Esgoto,,Não,"1,5","0,0","1,5","1,5",Sim,planilha+MTR25
EEAT JK,Mesquita,Bloco 4,Estação Elevatória de Água Tratada,,Não,"0,0","0,0","0,0","0,0",Não,-
SEDE NILOPOLIS,Nilópolis,Bloco 4,Sede Administrativa,87,Não,"102,6","2104,4","102,6","2104,4",Sim,planilha+MTR24+MTR25
EEAT NILÓPOLIS,Nilópolis,Bloco 4,Estação Elevatória de Água Tratada,,Não,"0,0","0,0","0,0","0,0",Não,-
ERES CABRAL,Nilópolis,Bloco 4,Estação de Reservação,2,Não,"0,0","0,0","0,0","0,0",Não,-
ERES NILÓPOLIS,Nilópolis,Bloco 4,Estação de Reservação,,Não,"0,0","0,0","0,0","0,0",Não,-
ETE LAGOINHA,Nova Iguaçu,Bloco 4,Estação de Tratamento de Esgoto,,Não,"34,8","0,0","34,8","34,8",Sim,planilha+MTR25
SEDE NOVA IGUAÇU,Nova Iguaçu,Bloco 4,Base Operacional,786,Não,"308,1","0,0","308,1","308,1",Sim,planilha+MTR25
EEAT CABUÇU ALTO,Nova Iguaçu,Bloco 4,Estação Elevatória de Água Tratada,,Não,"0,0","0,0","0,0","0,0",Não,-
EEAT CABUÇU BAIXO,Nova Iguaçu,Bloco 4,Estação Elevatória de Água Tratada,,Não,"0,0","0,0","0,0","0,0",Não,-
EEAT ESPLANADA,Nova Iguaçu,Bloco 4,Estação Elevatória de Água Tratada,,Não,"0,0","0,0","0,0","0,0",Não,-
EEAT FLORESA MIRANDA,Nova Iguaçu,Bloco 4,Estação Elevatória de Água Tratada,,Não,"0,0","0,0","0,0","0,0",Não,-
EEAT COORDENAÇÃO DE MANUTENÇÃO DA BAIXADA,Nova Iguaçu,Bloco 4,Estação Elevatória de Água Tratada,,Não,"0,0","0,0","0,0","0,0",Não,-
EEAT POSSE,Nova Iguaçu,Bloco 4,Estação Elevatória de Água Tratada,,Não,"0,0","0,0","0,0","0,0",Não,-
EEE LAGOINHA II,Nova Iguaçu,Bloco 4,Estação Elevatória de Esgoto,,Não,"0,0","0,0","0,0","0,0",Não,-
ERES JK VELHO,Nova Iguaçu,Bloco 4,Estação de Reservação,,Não,"0,0","0,0","0,0","0,0",Não,-
ERES JK NOVO,Nova Iguaçu,Bloco 4,Estação de Reservação,,Não,"0,0","0,0","0,0","0,0",Não,-
ERES ALVORADA,Nova Iguaçu,Bloco 4,Estação de Reservação,,Não,"0,0","0,0","0,0","0,0",Não,-
ERES BRASÍLIA,Nova Iguaçu,Bloco 4,Estação de Reservação,,Não,"0,0","0,0","0,0","0,0",Não,-
ERES POSSE,Nova Iguaçu,Bloco 4,Estação de Reservação,,Não,"0,0","0,0","0,0","0,0",Não,-
ERES CABUÇU ALTO,Nova Iguaçu,Bloco 4,Estação de Reservação,,Não,"0,0","0,0","0,0","0,0",Não,-
ERES TAÇA,Nova Iguaçu,Bloco 4,Estação de Reservação,,Não,"0,0","0,0","0,0","0,0",Não,-
ERES AUSTIN,Nova Iguaçu,Bloco 4,Estação de Reservação,,Não,"0,0","0,0","0,0","0,0",Não,-
EEAT AUSTIN,Nova Iguaçu,Bloco 4,Estação Elevatória de Água Tratada,,Não,"0,0","0,0","0,0","0,0",Não,-
ETE SAO JORGE,Queimados,Bloco 4,Estação de Tratamento de Esgoto,4,Não,"0,0","0,0","0,0","0,0",Não,-
SEDE QUEIMADOS,Queimados,Bloco 4,Sede Administrativa,72,Não,"0,0","305,0","0,0","305,0",Sim,MTR24
ETE QUEIMADOS,Queimados,Bloco 4,Estação de Tratamento de Esgoto,,Não,"0,0","0,0","0,0","0,0",Não,-
USINA DE ASFALTO,N/D,Bloco 4,N/D,,Não,"0,0","0,0","0,0","0,0",Não,-
BASE VCG SÃO CRISTOVÃO,Rio de Janeiro,Bloco 4,Base Operacional,43,Não,"13,9","0,0","13,9","13,9",Sim,planilha+MTR25
BASE EEAT ROCINHA,Rio de Janeiro,Bloco 1,Base Operacional,75,Não,"56,6","0,0","56,9","56,9",Sim,planilha+MTR25
