Unidade,Endereco_completo,Municipio,Bloco,Categoria_PGRS,Tipo
EEAT ENGENHEIRO PEDREIRA,"Cidade Jardim, Marajoara, Japeri – RJ",Japeri,B4,Regional,Estação Elevatória de Água Tratada
EEAT JK,"Rua da Cascata, 60 – Presidente Juscelino, Mesquita – RJ",Mesquita,B4,Regional,Estação Elevatória de Água Tratada
EEAT NILÓPOLIS,"Avenida Nazaré, 3076 - Olinda, Nilópolis – RJ, 21645-010",Nilópolis,B4,Regional,Estação Elevatória de Água Tratada
ERES NILÓPOLIS,"Rua Antônio Pereira de Carvalho, 205 – Centro, Nilópolis - RJ",Nilópolis,B4,Regional,Estação de Reservação
EEAT CABUÇU BAIXO,"Rua Ozório, 53 – Valverde, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
EEAT ESPLANADA,"Estrada da Fazenda, 2264 – Jardim da Viga, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
EEAT COORDENAÇÃO DE MANUTENÇÃO DA BAIXADA,"Rua Professor Venina Correa Torres, 23 – Centro, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
ERES JK VELHO,"Rua Carolina Machado, 192 - Juscelino, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES JK NOVO,"Rua Irmãos Maurício, 413 – Caonze, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES POSSE,"Rua da Fonte, 77 – Posse, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES TAÇA,"Rua Colorado, 146 - Vl Valverde - Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES AUSTIN,"Rua Tomás Gonzaga, 181 – Austin, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
EEAT AUSTIN,"Rua Araicas 37, Largo dos Peixes - Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
BASE OPERACIONAL VIDIGAL,"Rua Sobral Pinto, 4 (Largo do Santinho) - Rio de Janeiro - RJ",Rio de Janeiro,B1,Regional,Base Operacional
LOJA DE ATENDIMENTO APERIBÉ,"Rua Augusto Gomes da Silva, 56, Centro, Aperibé - RJ, 28495-000",Aperibé,B1,Regional,Loja
LOJA DE ATENDIMENTO CACHOEIRA DA MACACU,"Avenida Gov. Roberto Silveira, 303 - Centro, Cachoeiras de Macacu - RJ, 28680-000",Cachoeira de Macacu,B1,Regional,Loja
ETA CAMBUCI,"Rodovia RJ-194, ao lado do Posto de Saúde, Centro - Floresta, Cambuci - RJ, 28430-000",Cambuci,B1,Regional,Estação de Tratamento de Água
UT MONTE VERDE,"Rua Vargem Alegre, s/n, Centro - Monte Verde, Cambuci - RJ, 28430-000",Cambuci,B1,Regional,Unidade de Tratamento de Água
UT SÃO JOÃO DO PARAÍSO,"R. Oliveira Pinto, próximo ao 226 - São João do Paraíso, Cambuci - RJ, 28430-000",Cambuci,B1,Regional,Unidade de Tratamento de Água
ETA SANTA RITA DA FLORESTA,"Rua Cemitério, S/N - Santa Rita da Floresta -Cantagalo - RJ, 28500-000",Cantagalo,B1,Regional,Estação de Tratamento de Água
ETA EUCLIDELÂNDIA,"Próximo a Rodovia RJ - 152, Km 53, S/N, Vila Saint Clair, Cantagalo - RJ, 28500-000",Cantagalo,B1,Regional,Estação de Tratamento de Água
ETA SÃO SEBASTIÃO DO PARAÍBA,"Avenida Laper, S/N - São Sebastião do Paraíba, Cantagalo - RJ, 28500-000",Cantagalo,B1,Regional,Estação de Tratamento de Água
LOJA DE ATENDIMENTO BARRA DE SÃO JOÃO,"Rua Major Samuel Barreira, 87, Barra de São João,Casimiro de Abreu - RJ, 28860-000",Casimiro de Abreu,B1,Regional,Loja
SEDE ADMNISTRATIVA CORDEIRO,"Rua M. Humberto, 89 – Parque Raul Veiga, Cordeiro - RJ, 28495-000",Cordeiro,B1,Regional,Sede Administrativa
ETA DUAS BARRAS,"Rua Maria de Oliveira Guimarães, 68-172, Caixa D'água -Duas Barras - RJ, 28650-000",Duas Barras,B1,Regional,Estação de Tratamento de Água
