Unidade,Endereco_completo,Municipio,Bloco,Categoria_PGRS,Tipo
EEAT CABUÇU BAIXO,"Rua Ozório, 53 – Valverde, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
EEAT ESPLANADA,"Estrada da Fazenda, 2264 – Jardim da Viga, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
EEAT COORDENAÇÃO DE MANUTENÇÃO DA BAIXADA,"Rua Professor Venina Correa Torres, 23 – Centro, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
ERES JK VELHO,"Rua Carolina Machado, 192 - Juscelino, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES JK NOVO,"Rua Irmãos Maurício, 413 – Caonze, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES POSSE,"Rua da Fonte, 77 – Posse, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES TAÇA,"Rua Colorado, 146 - Vl Valverde - Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES AUSTIN,"Rua Tomás Gonzaga, 181 – Austin, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
EEAT AUSTIN,"Rua Araicas 37, Largo dos Peixes - Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
BASE OPERACIONAL VIDIGAL,"Rua Sobral Pinto, 4 (Largo do Santinho) - Rio de Janeiro - RJ",Rio de Janeiro,B1,Regional,Base Operacional
LOJA DE ATENDIMENTO CENTRO RJ,"R. Afonso Cavalcanti,275 -Centro, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B1,Regional,Loja
EEE BICA,"Estrada da Bica, nº 01 – Jardim Guanabara, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
EEE FUNDÃO,"Rua Lobo Carneiro – Próximo a Saída 3 da Linha Amarela, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
EEE ZUMBI I,"Rua Formosa do Zumbi, nº 44 –Pitangueiras, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
LOJA DE ATENDIMENTO MÉIER,"Rua José Bonifácio, 528 - Méier, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Loja
LOJA DE ATENDIMENTO CAMPINHO,"Estrada Intendente Magalhães, 504 - Campinho, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Loja
