Unidade,Endereco_completo,Municipio,Bloco,Geracao_ref_t,Categoria_PGRS,Tipo
ETE ALEGRIA,Rua Projetada IV - Caju - Cep: 20931000 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"9422,6",Individualizado,Estação de Tratamento de Água
ETE SÃO GONÇALO II,"KM 312, Rod. Gov. Mário Covas, 101 - Boa Vista, São Gonçalo - RJ, 24425-285",São Gonçalo,B1,"6782,4",Individualizado,Estação de Tratamento de Esgoto
BASE OPERACIONAL PENHA,Rua Cuba - Penha - Cep: 21020160 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"5609,8",Individualizado,Base Operacional
BASE OPERACIONAL PENHA,Rua Cuba - Penha - Cep: 21020160 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"5609,8",Individualizado,Base Operacional
BASE OPERACIONAL TIJUCA,"Rua Frei Pinto, 16 - Rocha - Cep: 20950140 - Rio de Janeiro - RJ",Rio de Janeiro,B4,"3910,2",Individualizado,Base Operacional
BASE OPERACIONAL BOTAFOGO,Avenida Reporter Nestor Moreira - Botafogo - Cep: 22290210 - Rio de Janeiro - RJ,Rio de Janeiro,B1,"3087,4",Individualizado,Base Operacional
ETE PAVUNA,Rua Bulhões Marcial - Vigário Geral - Cep: 21241370 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"2829,3",Individualizado,Estação de Tratamento de Esgoto
ETE PAVUNA VALO OXIDAÇÃO,"Avenida Chrisóstomo Pimentel de Oliveira, 2505 - Pavuna, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,"2829,3",Individualizado,Estação de Tratamento de Esgoto
LABORATÓRIO ETE PAVUNA,"Rua Bulhões Marcial ,9751, Vigário Geral, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,"2821,3",Individualizado,Laboratório
BASE OPERACIONAL GÁVEA,Avenida Rodrigo Otavio - Gávea - Cep: 22450060 - Rio de Janeiro - RJ,Rio de Janeiro,B1,"2498,1",Individualizado,Base Operacional
SEDE NILOPOLIS,"Rua Vereador Francisco Nunes, 1000 - Centro, Nilópolis - RJ, 26545-040",Nilópolis,B4,"2104,4",Individualizado,Sede Administrativa
ETE ILHA DO GOVERNADOR,"Rua Domingos Mondim, 315 - Tauá - Cep: 21920060 - Rio de Janeiro - RJ",Rio de Janeiro,B4,"2029,0",Individualizado,Estação de Tratamento de Esgoto
BASE OPERACIONAL MÉIER,"Rua José Bonifácio, 524 - Todos os Santos - Cep: 20770240 - Rio de Janeiro - RJ",Rio de Janeiro,B4,"1920,0",Agrupado/Municipal,Base Operacional
BASE OPERACIONAL CAMPINHO,Rua Francisco Cupello - Campinho - Cep: 21330750 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"1685,5",Agrupado/Municipal,Base Operacional
BASE OPERACIONAL SÃO GONÇALO,"KM 312, Rod. Gov. Mário Covas, 101 - Boa Vista, São Gonçalo - RJ, 24425-285",São Gonçalo,B1,"1364,2",Individualizado,Base Operacional
RESERVATORIO VILAR DOS TELES,"Rua Desembargador Geraldo Toledo, próximo ao Lote 3, Quadra 4 - Vila São João, São João de Meriti - RJ",São João de Meriti,B4,"1080,0",Individualizado,Reservatório de Água
ETE PENHA,"Rua Cuba, 5 - Penha - Cep: 21020160 - Rio de Janeiro - RJ",Rio de Janeiro,B4,"939,5",Individualizado,Estação de Tratamento de Esgoto
EEE ANDRÉ AZEVEDO,"Rua Francisco Sá, 86 - Copacabana - Cep: 22080010 - Rio de Janeiro - RJ",Rio de Janeiro,B1,"695,1",Individualizado,Estação Elevatória de Esgoto
BASE OPERACIONAL ENGENHO DE DENTRO,Rua Mário Calderaro - Engenho de Dentro - Cep: 20735330 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"575,1",Individualizado,Base Operacional
SEDE CAXIAS,Avenida Doutor Manuel Teles - Centro - Cep: 25010090 - Duque de Caxias - RJ,Duque de Caxias,B4,"490,0",Individualizado,Base Operacional
ETE APERIBE,"Rua Antônio Ferreira da Luz, 558 - Ferreira da Luz, Aperibé - RJ, 28495-000",Aperibé,B1,"420,9",Individualizado,Estação de Tratamento de Esgoto
ETE SARAPUI,"R. Demóstenes - Glaucia, Belford Roxo - RJ",Belford Roxo,B4,"326,0",Individualizado,Estação de Tratamento de Esgoto
SEDE NOVA IGUAÇU,Rua Oscar Soares - Centro - Cep: 26550160 - Nova Iguaçu - RJ,Nova Iguaçu,B4,"308,1",Individualizado,Base Operacional
SEDE QUEIMADOS,"Estrada Carlos Sampaio, 176 - São Simao, Queimados - RJ, 26327-410",Queimados,B4,"305,0",Agrupado/Municipal,Sede Administrativa
BASE OPERACIONAL ILHA DO GOVERNADOR,Estrada do Galeão - Jardim Carioca - Cep: 21931524 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"283,3",Agrupado/Municipal,Base Operacional
ETA RIO BONITO,Rua Nerilze Nazareth Souza - Caixa D'água - Cep: 28800000 - Rio Bonito - RJ,Rio Bonito,B1,"243,0",Individualizado,Estação de Tratamento de Água
SEDE BELFORD ROXO,Avenida Joaquim da Costa Lima - Centro - Cep: 26112055 - Belford Roxo - RJ,Belford Roxo,B4,"214,9",Individualizado,Base Operacional
ETE CORDEIRO,"Rua Jacinto Rosa Pinheiro, 209-279 - Parada Santo Expedito, Cordeiro - RJ, 28540-000",Cordeiro,B1,"172,0",Individualizado,Estação de Tratamento de Esgoto
BASE OPERACIONAL MARÉ,Rua Teixeira Ribeiro - Maré - Cep: 00000000 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"149,6",Individualizado,Base Operacional
BASE EEAT JURAMENTO,"Rua Alecrim, 1085, Vila Kosmos, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,"130,2",Agrupado/Municipal,Base Operacional
EEE LEBLON,"Av. Niemeyer, 1 - Vidigal, Rio de Janeiro - RJ",Rio de Janeiro,B1,"125,8",Agrupado/Municipal,Estação Elevatória de Esgoto
ETA PORTO DAS CAIXAS,R. Jose Augusto Marques - Porto das Caixas - Cep: 24830970 - Itaboraí - RJ,Itaboraí,B1,"115,5",Agrupado/Municipal,Estação de Tratamento de Água
EEE SATURNINO BRITO,"Av. Bartolomeu Mitre, 1281 - Leblon, Rio de Janeiro - RJ",Rio de Janeiro,B1,"103,5",Agrupado/Municipal,Estação Elevatória de Esgoto
BASE OPERACIONAL AMOROSO LIMA,Rua Amoroso Lima - Cidade Nova - Cep: 20211120 - Rio de Janeiro - RJ,Rio de Janeiro,B1,"84,3",Agrupado/Municipal,Base Operacional
RESERVATÓRIO PEDREGULHO,Rua Marechal Jardim - São Cristóvão - Cep: 20920204 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"80,3",Agrupado/Municipal,Reservatório de Água
ETA CORDEIRO,Rua Walter Vieitas - Centro - Cep: 28540000 - Cordeiro - RJ,Cordeiro,B1,"79,8",Individualizado,Estação de Tratamento de Água
ETA MONNERAT,Rua Antônio da Silva - antiga estr. de ferro - Cep: 28650000 - Duas Barras - RJ,Duas Barras,B1,"61,0",Individualizado,Estação de Tratamento de Água
BASE EEAT ROCINHA,"Estrada da Gávea, 243 - Rocinha, Rio de Janeiro - RJ, 22451-264",Rio de Janeiro,B1,"56,9",Agrupado/Municipal,Base Operacional
ETA Mage,"R. Pará, 850 - Vila Esperanca, Magé - RJ, 25903-587",Magé,B1,"48,5",Agrupado/Municipal,Estação de Tratamento de Água
SEDE SAO JOAO DE MERITI,Avenida Euclides da Cunha - Vila São João - Cep: 25570162 - São João de Meriti - RJ,São João de Meriti,B4,"41,0",Individualizado,Base Operacional
ETE GRANDE RIO 1,Rua Carlos Alberto Ferreira da Silva - João Caetano (Itambi) - Cep: 24866560 - Itaboraí - RJ,Itaboraí,B1,"40,1",Agrupado/Municipal,Estação de Tratamento de Esgoto
RESERVATÓRIO 25 DE AGOSTO,"Rua Paraíba, nº 505 – Paulicéia, Duque de Caxias – Rio de Janeiro, Duque de Caxias, RJ, Brasil",Duque de Caxias,B4,"40,0",Agrupado/Municipal,Reservatório de Água
RESERVATÓRIO CENTENÁRIO,"Rua Leopoldina Tomé, s/nº - Duque de Caxias, Duque de Caxias, RJ, Brasil",Duque de Caxias,B4,"40,0",Agrupado/Municipal,Reservatório de Água
RESERVATÓRIO COELHO DA ROCHA,"Rua Ingá, LT. 44 ao 55 – São João de Meriti, São João de Meriti, RJ, Brasil",São João de Meriti,B4,"40,0",Individualizado,Reservatório de Água
RESERVATÓRIO GUAICURUS,Rua Amoroso Lima - Cidade Nova - Cep: 20211120 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"40,0",Agrupado/Municipal,Reservatório de Água
RESERVATÓRIO DO FRANÇA,Largo do Franca - Santa Teresa - Cep: 20241370 - Rio de Janeiro - RJ,Rio de Janeiro,B4,"40,0",Agrupado/Municipal,Reservatório de Água
RESERVATÓRIO FRANCISCO SÁ,"Rua Fernando Vieiras, 9 - Andarai, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,"40,0",Agrupado/Municipal,Reservatório de Água
ETA MIRACEMA,Ponto de Paroquiana - Santo Antônio de Pádua - Cep: 28460000 - Miracema - RJ,Miracema,B1,"38,9",Agrupado/Municipal,Estação de Tratamento de Água
BASE VCG BONSUCESSO,"Avenida Itaóca, 786 – Bonsucesso, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,"37,8",Agrupado/Municipal,Base Operacional
ETA SEDE III,Av. Marechal Floriano - Centro - Cep: 28570000 - Itaocara - RJ,Itaocara,B1,"37,5",Individualizado,Estação de Tratamento de Água
BASE VCG JARDIM AMÉRICA,"Rodovia Presidente Dutra, 670 - Jardim América, Duque de Caxias, RJ, Brasil",Duque de Caxias,B4,"36,6",Agrupado/Municipal,Base Operacional
ETE PINHÃO,Rua Silva Souza dos Santos - Pinhão - Cep: 24890000 - Tanguá - RJ,Tanguá,B1,"36,0",Agrupado/Municipal,Estação de Tratamento de Esgoto
ETE LAGOINHA,"R. Dez, 87-1 - Lagoinha, Nova Iguaçu - RJ, 26296-069, Brasil",Nova Iguaçu,B4,"34,8",Individualizado,Estação de Tratamento de Esgoto
EEE SÃO CONRADO,"Avenida Aquarela do Brasil - São Conrado, Rio de Janeiro",Rio de Janeiro,B1,"32,3",Agrupado/Municipal,Estação Elevatória de Esgoto
SEDE MAGE,"Av. Simão da Motta, 713 - Vila Esperanca, Magé - RJ, 25903-587",Magé,B1,"30,1",Agrupado/Municipal,Base Operacional
ETE MIRACEMA,"Avenida Jose Figueiredo, 60 - Vila Ramos, Miracema - RJ",Miracema,B1,"29,3",Agrupado/Municipal,Estação de Tratamento de Esgoto
ETA RIO CACERIBU,Av. do Contôrno - Bandeirante - Cep: 24890000 - Tanguá - RJ,Tanguá,B1,"27,3",Agrupado/Municipal,Estação de Tratamento de Água
UT GARGAÚ,"ESTR. DA MURITIBA,, S/N - CENTRO - SÃO FRANCISCO DE ITABAPOANA/RJ",São Francisco de Itabapoana,B1,"25,9",Agrupado/Municipal,Unidade de Tratamento de Água
ETE JARDIM CATARINA,"Av. Santa Catarina, 68 - Jardim Catarina - Cep: 24717140 - São Gonçalo - RJ",São Gonçalo,B1,"25,2",Agrupado/Municipal,Estação de Tratamento de Esgoto
UT AFONSO VISEU,"Estrada da Cascatinha,212 - Alto da Boa Vista, Rio de Janeiro - RJ, 20531-590",Rio de Janeiro,B4,"21,6",Agrupado/Municipal,Unidade de Tratamento de Água
EEAT/ERES SANTA CLARA,"Estr. Velha - Centro, São Francisco de Itabapoana - RJ, 28230-000",São Francisco de Itabapoana,B1,"20,6",Agrupado/Municipal,Estação Elevatória de Água Tratada
BASE ROCINHA/ LOJA DE ATENDIMENTO,"Estrada da Gávea, 243 - Rocinha, Rio de Janeiro - RJ, 22451-264",Rio de Janeiro,B1,"20,0",Agrupado/Municipal,Base Operacional
SEDE ARMAZÉM 2,"Av. Rodrigues Alves, 10 Armazém 02 - Saude , Rio de Janeiro, RJ, 20081-250",Rio de Janeiro,B1,"20,0",Agrupado/Municipal,Sede Administrativa
CL DUQUE DE CAXIAS,"Parque Duque, Duque de Caxias - RJ, 25085-009",Duque de Caxias,B4,"18,7",Agrupado/Municipal,Almoxarifado
ETE APOLO,"Rua Enice Diogo Pereira, 693 - Marambaia - Cep: 24727190 - São Gonçalo - RJ",São Gonçalo,B1,"18,5",Agrupado/Municipal,Estação de Tratamento de Esgoto
ETA VALÃO DO BARRO,"Rua Manoel Teixeira Vogas, 539 - Valão do Barro, São Sebastião do Alto - RJ, 28555-000",São Sebastião do Alto,B1,"14,9",Agrupado/Municipal,Estação de Tratamento de Água
BASE VCG SÃO CRISTOVÃO,"Campo São Cristóvão, 166 – São Cristóvão – RJ, 20921-440",Rio de Janeiro,B4,"13,9",Agrupado/Municipal,Base Operacional
