Unidade,Endereco_completo,Municipio,Bloco,Categoria_PGRS,Tipo
EEE JARDIM GRAMACHO,"Rua Itu, Vila Sarapuí, Duque de Caxias – RJ, 25060-350",Duque de Caxias,B4,Regional,Estação Elevatória de Esgoto
EEE TIÃO LANTE,"Rua Tocantins, 582 – Jardim Gramacho, Duque de Caxias – RJ",Duque de Caxias,B4,Regional,Estação Elevatória de Esgoto
EEAT ENGENHEIRO PEDREIRA,"Cidade Jardim, Marajoara, Japeri – RJ",Japeri,B4,Regional,Estação Elevatória de Água Tratada
ERES ENGENHEIRO PEDREIRA,"Rua Maria Ângela, 18, Japeri – RJ",Japeri,B4,Regional,Estação de Reservação
EEAT JK,"Rua da Cascata, 60 – Presidente Juscelino, Mesquita – RJ",Mesquita,B4,Regional,Estação Elevatória de Água Tratada
EEAT NILÓPOLIS,"Avenida Nazaré, 3076 - Olinda, Nilópolis – RJ, 21645-010",Nilópolis,B4,Regional,Estação Elevatória de Água Tratada
ERES CABRAL,"Estrada Senador Salgado Filho, 1457 – Olinda, Nilópolis – RJ",Nilópolis,B4,Regional,Estação de Reservação
ERES NILÓPOLIS,"Rua Antônio Pereira de Carvalho, 205 – Centro, Nilópolis - RJ",Nilópolis,B4,Regional,Estação de Reservação
EEAT CABUÇU ALTO,"Rua José Cabral, 448 – Cabuçu, Nova Iguaçu, 26290-048, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
EEAT CABUÇU BAIXO,"Rua Ozório, 53 – Valverde, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
EEAT ESPLANADA,"Estrada da Fazenda, 2264 – Jardim da Viga, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
EEAT FLORESA MIRANDA,"Rua Floresta Miranda, 257 – Centro, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
EEAT COORDENAÇÃO DE MANUTENÇÃO DA BAIXADA,"Rua Professor Venina Correa Torres, 23 – Centro, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
EEAT POSSE,"Estrada Velha Iguaçu, 812 – Miguel Couto, Belford Roxo, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
EEE LAGOINHA II,"Rua Zero, 35 – Campo Belo, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Esgoto
ERES JK VELHO,"Rua Carolina Machado, 192 - Juscelino, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES JK NOVO,"Rua Irmãos Maurício, 413 – Caonze, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES ALVORADA,"Rua Katia, 210 - Jardim Alvorada, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES BRASÍLIA,"Rua Bento Vasconcelos, 115 – Centro, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES POSSE,"Rua da Fonte, 77 – Posse, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES CABUÇU ALTO,"Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES TAÇA,"Rua Colorado, 146 - Vl Valverde - Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
ERES AUSTIN,"Rua Tomás Gonzaga, 181 – Austin, Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação de Reservação
EEAT AUSTIN,"Rua Araicas 37, Largo dos Peixes - Nova Iguaçu, Nova Iguaçu, RJ, Brasil",Nova Iguaçu,B4,Regional,Estação Elevatória de Água Tratada
ETE SAO JORGE,"Rua Gastão Costa, 56, São Jorge, Queimados – RJ, 26381-324",Queimados,B4,Agrupado/Municipal,Estação de Tratamento de Esgoto
ETE QUEIMADOS,"Queimados, RJ, Brasil",Queimados,B4,Agrupado/Municipal,Estação de Tratamento de Esgoto
USINA DE ASFALTO,"N/D, RJ, Brasil",N/D,B4,Regional,N/D
BASE OPERACIONAL PPG,"Rua Saint Roman, 89 -Copacabana - Rio de Janeiro/ RJ",Rio de Janeiro,B1,Regional,Base Operacional
BASE OPERACIONAL VIDIGAL,"Rua Sobral Pinto, 4 (Largo do Santinho) - Rio de Janeiro - RJ",Rio de Janeiro,B1,Regional,Base Operacional
EEAT ROCINHA INFERIOR,"R. Graça Couto, 70 - Gávea, Rio de Janeiro - RJ",Rio de Janeiro,B1,Regional,Estação Elevatória de Água Tratada
UT PAINEIRAS,"Estrada das Paineiras, 360 – Santa Teresa, Rio de Janeiro - RJ, 22241-330",Rio de Janeiro,B1,Regional,Unidade de Tratamento de Água
LOJA DE ATENDIMENTO APERIBÉ,"Rua Augusto Gomes da Silva, 56, Centro, Aperibé - RJ, 28495-000",Aperibé,B1,Regional,Loja
UT POSTO PENA,"Rodovia RJ 116, km 19, Cachoeiras de Macacu, Rio de Janeiro",Cachoeira de Macacu,B1,Regional,Unidade de Tratamento de Água
UT RIO SOUZA,"Estrada São Joaquim - Valerio, Cachoeiras de Macacu - RJ, 28680-000",Cachoeira de Macacu,B1,Regional,Unidade de Tratamento de Água
LOJA DE ATENDIMENTO CACHOEIRA DA MACACU,"Avenida Gov. Roberto Silveira, 303 - Centro, Cachoeiras de Macacu - RJ, 28680-000",Cachoeira de Macacu,B1,Regional,Loja
ETA CAMBUCI,"Rodovia RJ-194, ao lado do Posto de Saúde, Centro - Floresta, Cambuci - RJ, 28430-000",Cambuci,B1,Regional,Estação de Tratamento de Água
UT MONTE VERDE,"Rua Vargem Alegre, s/n, Centro - Monte Verde, Cambuci - RJ, 28430-000",Cambuci,B1,Regional,Unidade de Tratamento de Água
UT SÃO JOÃO DO PARAÍSO,"R. Oliveira Pinto, próximo ao 226 - São João do Paraíso, Cambuci - RJ, 28430-000",Cambuci,B1,Regional,Unidade de Tratamento de Água
LOJA COMERCIAL CAMBUCI,"Avenida José de Souza Faria, 320, Cambuci - RJ, 28430-000",Cambuci,B1,Regional,Loja
ETA SANTA RITA DA FLORESTA,"Rua Cemitério, S/N - Santa Rita da Floresta -Cantagalo - RJ, 28500-000",Cantagalo,B1,Regional,Estação de Tratamento de Água
ETA EUCLIDELÂNDIA,"Próximo a Rodovia RJ - 152, Km 53, S/N, Vila Saint Clair, Cantagalo - RJ, 28500-000",Cantagalo,B1,Regional,Estação de Tratamento de Água
ETA SÃO SEBASTIÃO DO PARAÍBA,"Avenida Laper, S/N - São Sebastião do Paraíba, Cantagalo - RJ, 28500-000",Cantagalo,B1,Regional,Estação de Tratamento de Água
LOJA DE ATENDIMENTO CANTAGALO,"Rua Euclídes da Cunha, 44 -Cantagalo, RJ, 28500-000",Cantagalo,B1,Regional,Loja
BASE OPERACIONAL CASIMIRO,"Rua Corvina, 705 - Peixe Dourado II, Barra de São João, Casimiro de Abreu -RJ, 28860-000",Casimiro de Abreu,B1,Regional,Base Operacional
LOJA DE ATENDIMENTO BARRA DE SÃO JOÃO,"Rua Major Samuel Barreira, 87, Barra de São João,Casimiro de Abreu - RJ, 28860-000",Casimiro de Abreu,B1,Regional,Loja
SEDE ADMNISTRATIVA CORDEIRO,"Rua M. Humberto, 89 – Parque Raul Veiga, Cordeiro - RJ, 28495-000",Cordeiro,B1,Regional,Sede Administrativa
ETA DUAS BARRAS,"Rua Maria de Oliveira Guimarães, 68-172, Caixa D'água -Duas Barras - RJ, 28650-000",Duas Barras,B1,Regional,Estação de Tratamento de Água
LOJA DE ATENDIMENTO DUAS BARRAS,"Avenida Getúlio Vargas, 10, Duas Barras - RJ, 28650-000",Duas Barras,B1,Regional,Loja
ETA PORTELA,"Rua Antônio Corrêa da Rocha - Portela, Itaocara - RJ, 28570-000",Itaocara,B1,Regional,Estação de Tratamento de Água
ETA LARANJAIS,"Rua Nilo Peçanha, 385-355 -Laranjais, Itaocara - RJ, 28570-000",Itaocara,B1,Regional,Estação de Tratamento de Água
ETA BATATAL/CORONEL TEIXEIRA,"Rodovia RJ-158, 52-76 -Batatal, Itaocara - RJ, 28570-000",Itaocara,B1,Regional,Estação de Tratamento de Água
ETA JAGUAREMBÉ,"Rodovia Presidente João Goulart, S/N, Ipituna, São Sebastião do Alto - RJ, 28570-000",Itaocara,B1,Regional,Estação de Tratamento de Água
SEDE ADMNISTRATIVA ITAOCARA,"Av. Mal. Floriano Peixoto, 508 - Jardim D Aldeia, Itaocara -RJ, 28570-000",Itaocara,B1,Regional,Sede Administrativa
ETA DISTRITO VENDA DAS FLORES,"Rodovia RJ-116, Venda das Flores, Miracema - RJ, 28460-000",Miracema,B1,Regional,Estação de Tratamento de Água
ETA PARAÍSO DO TOBIAS,"Rua Manoel da São Almeida, 34 - Paraíso do Tobias, Miracema - RJ, 28460-000",Miracema,B1,Regional,Estação de Tratamento de Água
LOJA DE ATENDIMENTO MIRACEMA,"Avenida Dep. Luís Fernando Linhares, 103 - Miracema, RJ, 28460-000",Miracema,B1,Regional,Loja
CAPTAÇÃO MIRACEMA,"Av. Samel S/N, Vila Ramos, Miracema - RJ, 28460-000",Miracema,B1,Regional,Estação Elevatória de Água Bruta
UT LAVRAS,"Próximo a Estrada Velha de Lavras, Rio Bonito, RJ, 28800-000",Rio Bonito,B1,Regional,Unidade de Tratamento de Água
UT BOA ESPERANÇA,"Estrada do Rio Mole, com acesso pela RJ-124, Rio Bonito - RJ, 28800-000",Rio Bonito,B1,Regional,Unidade de Tratamento de Água
CAPTAÇÃO BACAXÁ,"Rua José Liberato, 99-23 -Centro, Rio Bonito - RJ, 28800-000",Rio Bonito,B1,Regional,Estação Elevtória de Água Bruta
LOJA DE ATENDIMENTO RIO BONITO,"Rua José Liberato, 99-23 -Centro, Rio Bonito - RJ, 28800-000",Rio Bonito,B1,Regional,Loja
ETA PRAÇA JOÃO PESSOA,"Rua Otávio Nunes Henriques S/N - Maniva, São Francisco de Itabapoana - RJ, 28230-000",São Francisco de Itabapoana,B1,Regional,Estação de Tratamento de Água
SEDE ADMNISTRATIVA SÃO SEBASTIÃO DO ALTO,"Rua Luciana Mendes Sá, 95-1 - São Francisco de Itabapoana, RJ, 28230-000",São Francisco de Itabapoana,B1,Regional,Base Operacional
