Unidade,Endereco,Municipio,Bloco,Categoria,Tipo,rua,bairro,lat,lon,precisao
"EEAT ENGENHEIRO PEDREIRA","Cidade Jardim, Marajoara, Japeri – RJ","Japeri","B4","Regional","Estação Elevatória de Água Tratada","Cidade Jardim","Marajoara","-22.7053346","-43.6275244","aproximada (bairro)"
"EEAT JK","Rua da Cascata, 60 – Presidente Juscelino, Mesquita – RJ","Mesquita","B4","Regional","Estação Elevatória de Água Tratada","Rua da Cascata 60","Presidente Juscelino","-22.7697558","-43.4345326","aproximada (bairro)"
"EEAT NILÓPOLIS","Avenida Nazaré, 3076 - Olinda, Nilópolis – RJ, 21645-010","Nilópolis","B4","Regional","Estação Elevatória de Água Tratada","Avenida Nazaré 3076","Olinda","-22.8172839","-43.4116983","aproximada (bairro)"
"ERES NILÓPOLIS","Rua Antônio Pereira de Carvalho, 205 – Centro, Nilópolis - RJ","Nilópolis","B4","Regional","Estação de Reservação","Rua Antônio Pereira de Carvalho 205","Centro","-22.8094695","-43.4063968","exata"
"EEAT CABUÇU BAIXO","Rua Ozório, 53 – Valverde, Nova Iguaçu, Nova Iguaçu, RJ, Brasil","Nova Iguaçu","B4","Regional","Estação Elevatória de Água Tratada","Rua Ozório 53","Valverde","-22.7719105","-43.528715","aproximada (bairro)"
"EEAT ESPLANADA","Estrada da Fazenda, 2264 – Jardim da Viga, Nova Iguaçu, Nova Iguaçu, RJ, Brasil","Nova Iguaçu","B4","Regional","Estação Elevatória de Água Tratada","Estrada da Fazenda 2264","Jardim da Viga","-22.7410643","-43.4423538","aproximada (bairro)"
"EEAT COORDENAÇÃO DE MANUTENÇÃO DA BAIXADA","Rua Professor Venina Correa Torres, 23 – Centro, Nova Iguaçu, Nova Iguaçu, RJ, Brasil","Nova Iguaçu","B4","Regional","Estação Elevatória de Água Tratada","Rua Professor Venina Correa Torres 23","Centro","-22.7593418","-43.4473818","aproximada (bairro)"
"ERES JK VELHO","Rua Carolina Machado, 192 - Juscelino, Nova Iguaçu, Nova Iguaçu, RJ, Brasil","Nova Iguaçu","B4","Regional","Estação de Reservação","Rua Carolina Machado 192","Juscelino","-22.7700212","-43.4344219","aproximada (bairro)"
"ERES JK NOVO","Rua Irmãos Maurício, 413 – Caonze, Nova Iguaçu, Nova Iguaçu, RJ, Brasil","Nova Iguaçu","B4","Regional","Estação de Reservação","Rua Irmãos Maurício 413","Caonze","-22.768669","-43.441066","aproximada (bairro)"
"ERES POSSE","Rua da Fonte, 77 – Posse, Nova Iguaçu, Nova Iguaçu, RJ, Brasil","Nova Iguaçu","B4","Regional","Estação de Reservação","Rua da Fonte 77","Posse","-22.7214877","-43.4662546","exata"
"ERES TAÇA","Rua Colorado, 146 - Vl Valverde - Nova Iguaçu, Nova Iguaçu, RJ, Brasil","Nova Iguaçu","B4","Regional","Estação de Reservação","Rua Colorado 146","Vl Valverde","-22.7783377","-43.5294556","exata"
"ERES AUSTIN","Rua Tomás Gonzaga, 181 – Austin, Nova Iguaçu, Nova Iguaçu, RJ, Brasil","Nova Iguaçu","B4","Regional","Estação de Reservação","Rua Tomás Gonzaga 181","Austin","-22.7220108","-43.5401184","exata"
"EEAT AUSTIN","Rua Araicas 37, Largo dos Peixes - Nova Iguaçu, Nova Iguaçu, RJ, Brasil","Nova Iguaçu","B4","Regional","Estação Elevatória de Água Tratada","Rua Araicas 37","Largo dos Peixes","-22.6955964","-43.4654372","aproximada (cidade)"
"BASE OPERACIONAL VIDIGAL","Rua Sobral Pinto, 4 (Largo do Santinho) - Rio de Janeiro - RJ","Rio de Janeiro","B1","Regional","Base Operacional","Rua Sobral Pinto","(Largo do Santinho)","-22.838936","-42.2034849","exata"
"LOJA DE ATENDIMENTO APERIBÉ","Rua Augusto Gomes da Silva, 56, Centro, Aperibé - RJ, 28495-000","Aperibé","B1","Regional","Loja","Rua Augusto Gomes da Silva 56","Centro","-21.653159","-42.1329659","aproximada (cidade)"
"LOJA DE ATENDIMENTO CACHOEIRA DA MACACU","Avenida Gov. Roberto Silveira, 303 - Centro, Cachoeiras de Macacu - RJ, 28680-000","Cachoeira de Macacu","B1","Regional","Loja","Avenida Gov. Roberto Silveira 303","Centro","-22.5250392","-42.8317309","aproximada (cidade)"
"ETA CAMBUCI","Rodovia RJ-194, ao lado do Posto de Saúde, Centro - Floresta, Cambuci - RJ, 28430-000","Cambuci","B1","Regional","Estação de Tratamento de Água","Rodovia RJ-194","Floresta","-21.5824715","-41.921514","exata"
"UT MONTE VERDE","Rua Vargem Alegre, s/n, Centro - Monte Verde, Cambuci - RJ, 28430-000","Cambuci","B1","Regional","Unidade de Tratamento de Água","Rua Vargem Alegre","Monte Verde","-21.4697","-41.9119","aproximada (bairro)"
"UT SÃO JOÃO DO PARAÍSO","R. Oliveira Pinto, próximo ao 226 - São João do Paraíso, Cambuci - RJ, 28430-000","Cambuci","B1","Regional","Unidade de Tratamento de Água","R. Oliveira Pinto","São João do Paraíso","-21.4104773","-41.811052","exata"
"ETA SANTA RITA DA FLORESTA","Rua Cemitério, S/N - Santa Rita da Floresta -Cantagalo - RJ, 28500-000","Cantagalo","B1","Regional","Estação de Tratamento de Água","Rua Cemitério","Santa Rita da Floresta","-21.8792","-42.4564","aproximada (bairro)"
"ETA EUCLIDELÂNDIA","Próximo a Rodovia RJ - 152, Km 53, S/N, Vila Saint Clair, Cantagalo - RJ, 28500-000","Cantagalo","B1","Regional","Estação de Tratamento de Água","Próximo a Rodovia RJ 152","Vila Saint Clair","-21.8673976","-42.3062367","aproximada (cidade)"
"ETA SÃO SEBASTIÃO DO PARAÍBA","Avenida Laper, S/N - São Sebastião do Paraíba, Cantagalo - RJ, 28500-000","Cantagalo","B1","Regional","Estação de Tratamento de Água","Avenida Laper","São Sebastião do Paraíba","-21.7553","-42.3789","aproximada (bairro)"
"LOJA DE ATENDIMENTO BARRA DE SÃO JOÃO","Rua Major Samuel Barreira, 87, Barra de São João,Casimiro de Abreu - RJ, 28860-000","Casimiro de Abreu","B1","Regional","Loja","Rua Major Samuel Barreira 87","Barra de São João","-22.5881","-41.9924","aproximada (bairro)"
"SEDE ADMNISTRATIVA CORDEIRO","Rua M. Humberto, 89 – Parque Raul Veiga, Cordeiro - RJ, 28495-000","Cordeiro","B1","Regional","Sede Administrativa","Rua M. Humberto 89","Parque Raul Veiga","-22.0233736","-42.3622405","aproximada (bairro)"
"ETA DUAS BARRAS","Rua Maria de Oliveira Guimarães, 68-172, Caixa D'água -Duas Barras - RJ, 28650-000","Duas Barras","B1","Regional","Estação de Tratamento de Água","Rua Maria de Oliveira Guimarães","Caixa D'água","-22.0489291","-42.5227442","exata"
"LOJA DE ATENDIMENTO DUAS BARRAS","Avenida Getúlio Vargas, 10, Duas Barras - RJ, 28650-000","Duas Barras","B1","Regional","Loja","Avenida Getúlio Vargas 10","","-22.0522519","-42.5194705","aproximada (cidade)"
"ETA PORTELA","Rua Antônio Corrêa da Rocha - Portela, Itaocara - RJ, 28570-000","Itaocara","B1","Regional","Estação de Tratamento de Água","Rua Antônio Corrêa da Rocha","Portela","-21.6309858","-41.9858213","aproximada (bairro)"
"ETA LARANJAIS","Rua Nilo Peçanha, 385-355 -Laranjais, Itaocara - RJ, 28570-000","Itaocara","B1","Regional","Estação de Tratamento de Água","Rua Nilo Peçanha","Laranjais","-21.6699932","-42.0789927","exata"
"SEDE ADMNISTRATIVA ITAOCARA","Av. Mal. Floriano Peixoto, 508 - Jardim D Aldeia, Itaocara -RJ, 28570-000","Itaocara","B1","Regional","Sede Administrativa","Av. Mal. Floriano Peixoto 508","Jardim D Aldeia","-21.7289291","-42.0897294","aproximada (cidade)"
"ETA PARAÍSO DO TOBIAS","Rua Manoel da São Almeida, 34 - Paraíso do Tobias, Miracema - RJ, 28460-000","Miracema","B1","Regional","Estação de Tratamento de Água","Rua Manoel da São Almeida 34","Paraíso do Tobias","-21.4314","-42.1008","aproximada (bairro)"
"LOJA DE ATENDIMENTO MIRACEMA","Avenida Dep. Luís Fernando Linhares, 103 - Miracema, RJ, 28460-000","Miracema","B1","Regional","Loja","Avenida Dep. Luís Fernando Linhares 103","","-21.3899863","-42.1404096","aproximada (cidade)"
"CAPTAÇÃO MIRACEMA","Av. Samel S/N, Vila Ramos, Miracema - RJ, 28460-000","Miracema","B1","Regional","Estação Elevatória de Água Bruta","Av. Samel S/N","Vila Ramos","-21.3932622","-42.1705696","aproximada (bairro)"
"UT LAVRAS","Próximo a Estrada Velha de Lavras, Rio Bonito, RJ, 28800-000","Rio Bonito","B1","Regional","Unidade de Tratamento de Água","Próximo a Estrada Velha de Lavras","","-22.7368566","-42.5702111","aproximada (cidade)"
"UT BOA ESPERANÇA","Estrada do Rio Mole, com acesso pela RJ-124, Rio Bonito - RJ, 28800-000","Rio Bonito","B1","Regional","Unidade de Tratamento de Água","Estrada do Rio Mole","com acesso pela RJ-124","-22.7368566","-42.5702111","aproximada (cidade)"
"LOJA DE ATENDIMENTO SÃO SEBASTIÃO DO ALTO","Rua Dr. Júlio Vieitas, 29 -Centro, São Sebastião do Alto - RJ, 21000-000","São Sebastião do Alto","B1","Agrupado/Municipal","Loja","Rua Dr. Júlio Vieitas 29","Centro","-22.9559631","-43.2798995","aproximada (bairro)"
"UT CHÁCARA DO PARAÍSO","Rua Hermes Daumas, 300 -Centro, São Sebastião do Alto - RJ, 28550-000","São Sebastião do Alto","B1","Agrupado/Municipal","Unidade de Tratamento de Água","Rua Hermes Daumas 300","Centro","-21.957925","-42.1358139","exata"
"UT HOSPITAL","Rua Min. Franscico Dorneles, 74-174 - Santa Irene, São Sebastião do Alto - RJ, 28550-000","São Sebastião do Alto","B1","Agrupado/Municipal","Unidade de Tratamento de Água","Rua Min. Franscico Dorneles","Santa Irene","-21.8765871","-42.1115232","aproximada (cidade)"
"BASE OPERACIONAL ITABORAÍ","Rua José Leandro, 38 - Centro, Itaboraí - RJ, 24800-149","Itaboraí","B1","Regional","Base Operacional","Rua José Leandro 38","Centro","-22.7502701","-42.8957278","exata"
"EEE APOLO 1","R. Azebi Coutinho da Veiga 350 -Monjolo, São Gonçalo - RJ, 24425-285","São Gonçalo","B1","Regional","Estação Elevatória de Esgoto","R. Azebi Coutinho da Veiga 350","Monjolo","-22.7774134","-42.9490692","exata"
"ETA PONTA NEGRA","RJ-118, 40 - Ponta Negra, Maricá- RJ, 24942-39","Maricá","B1","Agrupado/Municipal","Estação de Tratamento de Água","RJ-118 40","Ponta Negra","-22.9370826","-42.6750137","exata"
"ETA SAMPAIO CORREA","Cachoeira do Roncador -Sampaio Corrêa, Saquarema - RJ","Saquarema","B1","Regional","Estação de Tratamento de Água","Cachoeira do Roncador","Sampaio Corrêa","-22.8627","-42.5999","aproximada (bairro)"
"EEAT INOÃ","Av. Francisco Azeredo Coutinho, 2035-3091 - Ipiíba, São Gonçalo -RJ","São Gonçalo","B1","Regional","Estação Elevatória de Água Tratada","Av. Francisco Azeredo Coutinho","Ipiíba","-22.8738652","-42.9800956","exata"
"LOJA COMERCIAL TANGUÁ","Rua Vereador Manoel Macedo, loja 4, no Centro, Tanguá, RJ, Brasil","Tanguá","B1","Regional","Loja","Rua Vereador Manoel Macedo","","-22.7354434","-42.7206234","exata"
"SEDE ADMINISTRATIVA MARICÁ","R. Joana Chavier Mattos, 0 -Flamengo, Maricá - RJ, 24903-765","Maricá","B1","Agrupado/Municipal","Sede Administrativa","R. Joana Chavier Mattos 0","Flamengo","-22.9087976","-42.8044784","aproximada (bairro)"
"SEDE ADMNISTRATIVA CENTRO I","Rua Cel. Moreira César, 139 -Centro, São Gonçalo - RJ, 24440 -400","São Gonçalo","B1","Regional","Sede Administrativa","Rua Cel. Moreira César 139","Centro","-22.8280755","-43.0541707","exata"
"LOJA DE ATENDIMENTO CENTRO RJ","R. Afonso Cavalcanti,275 -Centro, Rio de Janeiro, RJ, Brasil","Rio de Janeiro","B1","Regional","Loja","R. Afonso Cavalcanti 275","Centro","-22.9098352","-43.2012186","exata"
"EEE BICA","Estrada da Bica, nº 01 – Jardim Guanabara, Rio de Janeiro, RJ, Brasil","Rio de Janeiro","B4","Regional","Estação Elevatória de Esgoto","Estrada da Bica 01","Jardim Guanabara","-22.8183392","-43.1880432","exata"
"EEE FUNDÃO","Rua Lobo Carneiro – Próximo a Saída 3 da Linha Amarela, Rio de Janeiro, RJ, Brasil","Rio de Janeiro","B4","Regional","Estação Elevatória de Esgoto","Rua Lobo Carneiro","","-22.8579044","-43.2340271","exata"
"EEE ZUMBI I","Rua Formosa do Zumbi, nº 44 –Pitangueiras, Rio de Janeiro, RJ, Brasil","Rio de Janeiro","B4","Regional","Estação Elevatória de Esgoto","Rua Formosa do Zumbi 44","Pitangueiras","-22.8196759","-43.1770802","exata"
"LOJA DE ATENDIMENTO MÉIER","Rua José Bonifácio, 528 - Méier, Rio de Janeiro, RJ, Brasil","Rio de Janeiro","B4","Regional","Loja","Rua José Bonifácio 528","Méier","-22.8909102","-43.2830415","exata"
"LOJA DE ATENDIMENTO CAMPINHO","Estrada Intendente Magalhães, 504 - Campinho, Rio de Janeiro, RJ, Brasil","Rio de Janeiro","B4","Regional","Loja","Estrada Intendente Magalhães 504","Campinho","-22.8827168","-43.3474801","exata"
